onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
20.3871201814,0.0522448979592,4,12,3,1,11,1.2637414966,"""4/4""",67,63.7080321995,5,0,1,G-,A1,lick
20.4596825397,0.169795918367,4,12,3,1,12,1.2637414966,"""4/4""",69,60.2849628434,5,0,1,G-,A1,lick
20.9574603175,0.179954648526,4,4,3,2,2,1.15600907029,"""4/4""",60,60.3699523111,5,0,1,G-,A1,#lick
21.523446712,0.431020408163,4,4,3,2,4,1.15600907029,"""4/4""",60,63.1656268095,5,0,1,G-,A1,#lick
22.1265306122,0.412244897959,4,4,3,3,2,1.20562358277,"""4/4""",62,59.9587770862,5,0,1,G-j7,A1,#lick
22.6612244898,0.159637188209,4,4,3,3,4,1.20562358277,"""4/4""",65,60.7761150673,5,0,1,G-j7,A1,#lick
22.9035827664,0.0609523809524,4,4,3,4,1,1.2,"""4/4""",68,55.0188990004,5,0,1,G-j7,A1,#lick
22.9674376417,0.255419501134,4,4,3,4,2,1.2,"""4/4""",69,59.9875808073,5,0,1,G-j7,A1,#lick
23.9030612245,0.238004535147,4,4,3,4,4,1.2,"""4/4""",70,68.0226161907,6,1,1,G-j7,A1,melody
24.1966439909,0.233650793651,4,4,4,1,1,1.21034013605,"""4/4""",69,66.7123513051,6,0,1,G-7,A1,melody
24.5507482993,0.133514739229,4,4,4,1,2,1.21034013605,"""4/4""",65,67.5298843872,6,0,1,G-7,A1,melody
24.7960090703,0.277188208617,4,4,4,1,3,1.21034013605,"""4/4""",60,62.8101934875,6,0,1,G-7,A1,melody
25.1646258503,0.168344671202,4,4,4,1,4,1.21034013605,"""4/4""",53,57.9412814014,6,0,1,G-7,A1,melody
25.3678004535,0.58485260771,4,4,4,2,1,1.230430839,"""4/4""",58,61.4915283464,6,0,1,G-7,A1,melody
25.9795918367,0.373469387755,4,4,4,2,3,1.230430839,"""4/4""",57,61.037169464,6,0,1,G-7,A1,melody
26.3720634921,0.561224489796,4,4,4,2,4,1.230430839,"""4/4""",55,56.9538971931,6,0,1,G-7,A1,melody
28.1280725624,0.200272108844,4,6,4,4,3,1.20439909297,"""4/4""",57,67.2107809094,7,1,1,A7,A1,lick
28.3457596372,0.187210884354,4,6,4,4,4,1.20439909297,"""4/4""",61,72.3283722703,7,0,1,A7,A1,lick
28.5416780045,0.188662131519,4,6,4,4,5,1.20439909297,"""4/4""",64,75.6033862777,7,0,1,A7,A1,lick
28.747755102,0.178503401361,4,6,4,4,6,1.20439909297,"""4/4""",68,70.4712769792,7,0,1,A7,A1,lick
28.9378684807,0.198820861678,4,6,5,1,1,1.2068707483,"""4/4""",69,67.0879884678,7,0,1,D-,A1,lick
29.1512018141,0.177052154195,4,6,5,1,2,1.2068707483,"""4/4""",68,61.3263924908,7,0,1,D-,A1,lick
29.3442176871,0.184308390023,4,6,5,1,3,1.2068707483,"""4/4""",69,65.8311485802,7,0,1,D-,A1,lick
29.5415873016,0.198820861678,4,6,5,1,4,1.2068707483,"""4/4""",67,66.329239339,7,0,1,D-,A1,lick
29.7491156463,0.145124716553,4,6,5,1,5,1.2068707483,"""4/4""",66,59.0267911766,7,0,1,D-,A1,lick
29.9116553288,0.206077097506,4,6,5,1,6,1.2068707483,"""4/4""",67,63.6699527849,7,0,1,D-,A1,lick
30.1278911565,0.219138321995,4,6,5,2,1,1.23861678005,"""4/4""",65,64.7074074776,7,0,1,D-,A1,lick
30.3600907029,0.181405895692,4,6,5,2,2,1.23861678005,"""4/4""",64,66.235598215,7,0,1,D-,A1,lick
30.544399093,0.190113378685,4,6,5,2,3,1.23861678005,"""4/4""",65,63.1532510629,7,0,1,D-,A1,lick
30.754829932,0.198820861678,4,6,5,2,4,1.23861678005,"""4/4""",67,66.6588286474,7,0,1,D-,A1,lick
30.9638095238,0.142222222222,4,6,5,2,5,1.23861678005,"""4/4""",66,54.6483266326,7,0,1,D-,A1,lick
31.1248979592,0.374421768707,4,6,5,2,6,1.23861678005,"""4/4""",67,62.2052197632,7,0,1,D-,A1,lick
31.5414058957,0.335238095238,4,3,5,3,1,1.19857142857,"""4/4""",65,59.8822381042,7,0,1,D-,A1,#lick
31.9142857143,0.343945578231,4,3,5,3,2,1.19857142857,"""4/4""",64,62.2754785471,7,0,1,D-,A1,#lick
32.3091156463,0.361360544218,4,3,5,3,3,1.19857142857,"""4/4""",63,66.5182174941,7,0,1,D-,A1,#lick
32.6878911565,0.507936507937,4,6,5,4,2,1.16267573696,"""4/4""",64,64.0007938633,7,0,1,D-,A1,#lick
33.2088888889,0.161088435374,4,6,5,4,4,1.16267573696,"""4/4""",65,60.1856728974,7,0,1,D-,A1,#lick
33.3859410431,0.223492063492,4,6,5,4,5,1.16267573696,"""4/4""",64,59.4626596499,7,0,1,D-,A1,#lick
33.6224943311,0.256870748299,4,6,5,4,6,1.16267573696,"""4/4""",65,57.414102934,7,0,1,D-,A1,#lick
33.893877551,0.211882086168,4,6,6,1,2,1.11507936508,"""4/4""",64,64.8081392925,7,0,1,D7,A1,#lick
34.1144671202,0.142222222222,4,6,6,1,3,1.11507936508,"""4/4""",60,60.7116221853,7,0,1,D7,A1,#lick
34.2726530612,0.573242630385,4,6,6,1,4,1.11507936508,"""4/4""",57,57.3925697221,7,0,1,D7,A1,#lick
34.8458956916,2.26757369615e-05,4,1,6,2,1,1.23099773243,"""4/4""",57,,7,0,1,D7,A1,#lick
36.0983219955,0.158185941043,4,8,6,3,1,1.1262585034,"""4/4""",69,68.3909744435,8,1,1,D7,A1,line_w
36.2623129252,0.127709750567,4,8,6,3,2,1.1262585034,"""4/4""",71,71.1338713274,8,0,1,D7,A1,line_w
36.4059863946,0.0986848072562,4,8,6,3,3,1.1262585034,"""4/4""",74,65.4567394777,8,0,1,D7,A1,line_w
36.514829932,0.12335600907,4,8,6,3,4,1.1262585034,"""4/4""",71,66.0399028768,8,0,1,D7,A1,line_w
36.6759183673,0.137868480726,4,8,6,3,5,1.1262585034,"""4/4""",65,63.7755916156,8,0,1,D7,A1,line_w
36.8312018141,0.129160997732,4,8,6,3,6,1.1262585034,"""4/4""",66,64.8071273811,8,0,1,D7,A1,line_w
36.9835827664,0.152380952381,4,8,6,3,7,1.1262585034,"""4/4""",71,65.4492755545,8,0,1,D7,A1,line_w
37.1911111111,0.137868480726,4,7,6,4,1,1.12675736961,"""4/4""",68,68.4771457271,8,0,1,D7,A1,line_w
37.4102494331,0.13641723356,4,7,6,4,2,1.12675736961,"""4/4""",69,65.4633680994,8,0,1,D7,A1,line_w
37.5553741497,0.127709750567,4,7,6,4,3,1.12675736961,"""4/4""",72,59.5773446817,8,0,1,D7,A1,line_w
37.6961451247,0.12335600907,4,7,6,4,4,1.12675736961,"""4/4""",75,55.5203644472,8,0,1,D7,A1,line_w
37.887755102,0.135714285714,4,7,6,4,5,1.12675736961,"""4/4""",79,62.5216444945,8,0,1,D7,A1,line_w
38.0487981859,0.127709750567,4,7,6,4,6,1.12675736961,"""4/4""",78,63.7664960686,8,0,1,D7,A1,line_w
38.1939229025,0.116099773243,4,7,6,4,7,1.12675736961,"""4/4""",77,59.8146746422,8,0,1,D7,A1,line_w
38.3288888889,0.133514739229,4,10,7,1,1,1.19496598639,"""4/4""",76,62.2553392247,8,0,1,D7,A1,line_w
38.4682086168,0.12335600907,4,10,7,1,2,1.19496598639,"""4/4""",75,63.4282547443,8,0,1,G-7,A1,line_w
38.6133333333,0.0536961451247,4,10,7,1,3,1.19496598639,"""4/4""",71,58.7329370634,8,0,1,G-7,A1,line_w
38.6829931973,0.0449886621315,4,10,7,1,4,1.19496598639,"""4/4""",70,59.7505896324,8,0,1,G-7,A1,line_w
38.7439455782,0.130612244898,4,10,7,1,5,1.19496598639,"""4/4""",66,66.5840052572,8,0,1,G-7,A1,line_w
38.8861678005,0.134965986395,4,10,7,1,6,1.19496598639,"""4/4""",63,66.4956303652,8,0,1,G-7,A1,line_w
39.0327437642,0.130612244898,4,10,7,1,7,1.19496598639,"""4/4""",61,64.5952311946,8,0,1,G-7,A1,line_w
39.1749659864,0.0986848072562,4,10,7,1,8,1.19496598639,"""4/4""",62,59.7603701272,8,0,1,G-7,A1,line_w
39.2736507937,0.121904761905,4,10,7,1,9,1.19496598639,"""4/4""",65,59.1036714989,8,0,1,G-7,A1,line_w
39.4013605442,0.158185941043,4,10,7,1,10,1.19496598639,"""4/4""",69,62.3579986192,8,0,1,G-7,A1,line_w
39.5798639456,0.087074829932,4,6,7,2,1,1.24770975057,"""4/4""",70,58.2643446725,8,0,1,G-7,A1,~melody
39.671292517,0.282993197279,4,6,7,2,2,1.24770975057,"""4/4""",72,62.5857648926,8,0,1,G-7,A1,~melody
39.9673469388,0.197369614512,4,6,7,2,3,1.24770975057,"""4/4""",76,60.411821277,8,0,1,G-7,A1,~melody
40.1806802721,0.608072562358,4,6,7,2,4,1.24770975057,"""4/4""",79,62.1475027197,8,0,1,G-7,A1,~melody
41.135600907,0.238004535147,4,4,7,3,2,1.19204081633,"""4/4""",84,60.2629860686,8,0,1,C7,A1,~melody
41.4229478458,0.953469387755,4,4,7,3,3,1.19204081633,"""4/4""",81,59.6394235307,8,0,1,C7,A1,~melody
43.33569161,0.139319727891,4,10,8,1,3,1.15068027211,"""4/4""",86,57.3907398615,9,1,1,Fj7,A1,line_w
43.4880725624,0.146575963719,4,10,8,1,4,1.15068027211,"""4/4""",84,62.3058889795,9,0,1,Fj7,A1,line_w
43.6491609977,0.0565986394558,4,10,8,1,5,1.15068027211,"""4/4""",83,48.059980672,9,0,1,Fj7,A1,line_w
43.713015873,0.0841723356009,4,10,8,1,6,1.15068027211,"""4/4""",82,64.392008379,9,0,1,Fj7,A1,line_w
43.8102494331,0.114648526077,4,10,8,1,7,1.15068027211,"""4/4""",81,59.0843935389,9,0,1,Fj7,A1,line_w
43.9336054422,0.145124716553,4,10,8,1,8,1.15068027211,"""4/4""",79,64.0639975142,9,0,1,Fj7,A1,line_w
44.0903401361,0.152380952381,4,10,8,1,9,1.15068027211,"""4/4""",77,54.3564903644,9,0,1,Fj7,A1,line_w
44.2543310658,0.143673469388,4,10,8,1,10,1.15068027211,"""4/4""",76,61.6088186259,9,0,1,Fj7,A1,line_w
44.4110657596,0.119002267574,4,12,8,2,2,1.19793650794,"""4/4""",74,59.7063060429,9,0,1,Fj7,A1,line_w
44.5445804989,0.159637188209,4,12,8,2,3,1.19793650794,"""4/4""",76,61.6701847592,9,0,1,Fj7,A1,line_w
44.7100226757,0.0856235827664,4,12,8,2,5,1.19793650794,"""4/4""",77,58.141534945,9,0,1,Fj7,A1,line_w
44.8145124717,0.140770975057,4,12,8,2,6,1.19793650794,"""4/4""",79,63.0239935675,9,0,1,Fj7,A1,line_w
45.0205895692,0.100136054422,4,12,8,2,8,1.19793650794,"""4/4""",74,66.022845369,9,0,1,Fj7,A1,line_w
45.1323356009,0.0798185941043,4,12,8,2,9,1.19793650794,"""4/4""",75,66.8002830869,9,0,1,Fj7,A1,line_w
45.2266666667,0.0624036281179,4,12,8,2,10,1.19793650794,"""4/4""",76,63.6816412195,9,0,1,Fj7,A1,line_w
45.2890702948,0.150929705215,4,12,8,2,11,1.19793650794,"""4/4""",72,63.1995832922,9,0,1,Fj7,A1,line_w
45.4501587302,0.104489795918,4,12,8,2,12,1.19793650794,"""4/4""",69,57.4550870156,9,0,1,Fj7,A1,line_w
45.5648072562,0.139319727891,4,9,8,3,1,1.13015873016,"""4/4""",70,64.2101327524,9,0,1,Em7b5,A1,line_w
45.7142857143,0.169795918367,4,9,8,3,3,1.13015873016,"""4/4""",72,66.2449584214,9,0,1,Em7b5,A1,line_w
45.8927891156,0.0972335600907,4,9,8,3,4,1.13015873016,"""4/4""",73,57.9198097964,9,0,1,Em7b5,A1,line_w
46.0016326531,0.116099773243,4,9,8,3,5,1.13015873016,"""4/4""",75,64.0407529711,9,0,1,Em7b5,A1,line_w
46.1220861678,0.139319727891,4,9,8,3,6,1.13015873016,"""4/4""",76,62.5871179893,9,0,1,Em7b5,A1,line_w
46.2686621315,0.12335600907,4,9,8,3,7,1.13015873016,"""4/4""",78,61.9014060528,9,0,1,Em7b5,A1,line_w
46.4050793651,0.146575963719,4,9,8,3,8,1.13015873016,"""4/4""",79,64.6824093456,9,0,1,Em7b5,A1,line_w
46.5690702948,0.119002267574,4,9,8,3,9,1.13015873016,"""4/4""",81,59.5208006744,9,0,1,Em7b5,A1,line_w
46.6967800454,0.104489795918,4,15,8,4,2,1.13863945578,"""4/4""",78,62.5478274596,9,0,1,A7,A1,line_w
46.8201360544,0.148027210884,4,15,8,4,3,1.13863945578,"""4/4""",79,62.9650161337,9,0,1,A7,A1,line_w
47.0146031746,0.140770975057,4,15,8,4,6,1.13863945578,"""4/4""",84,57.5987212373,9,0,1,A7,A1,line_w
47.1945578231,0.146575963719,4,15,8,4,8,1.13863945578,"""4/4""",61,56.0634701422,9,0,1,A7,A1,line_w
47.4572335601,0.142222222222,4,15,8,4,12,1.13863945578,"""4/4""",79,57.0462531358,9,0,1,A7,A1,lick
47.6357369615,0.089977324263,4,15,8,4,14,1.13863945578,"""4/4""",77,48.8351410244,9,0,1,A7,A1,lick
47.737324263,0.165442176871,4,15,8,4,15,1.13863945578,"""4/4""",79,62.7113611635,9,0,1,A7,A1,lick
47.9100226757,0.195918367347,4,10,9,1,2,1.19238095238,"""4/4""",81,62.9014278171,9,0,1,D-,A2,lick
48.1799546485,0.120453514739,4,10,9,1,4,1.19238095238,"""4/4""",77,54.4469736991,9,0,1,D-,A2,lick
48.3091156463,0.121904761905,4,10,9,1,5,1.19238095238,"""4/4""",76,58.321701694,9,0,1,D-,A2,lick
48.446984127,0.203174603175,4,10,9,1,7,1.19238095238,"""4/4""",79,66.7313256423,9,0,1,D-,A2,lick
48.7836734694,0.107392290249,4,10,9,1,9,1.19238095238,"""4/4""",76,56.6896037824,9,0,1,D-,A2,lick
48.8983219955,0.13641723356,4,10,9,1,10,1.19238095238,"""4/4""",74,58.2735219437,9,0,1,D-,A2,lick
49.0536054422,0.121904761905,4,4,9,2,1,1.15802721088,"""4/4""",76,63.1264425355,9,0,1,D-,A2,lick
49.1943764172,0.161088435374,4,4,9,2,2,1.15802721088,"""4/4""",77,59.1489330518,9,0,1,D-,A2,lick
49.3598185941,0.171247165533,4,4,9,2,3,1.15802721088,"""4/4""",74,57.4017281454,9,0,1,D-,A2,lick
49.64861678,0.185759637188,4,4,9,2,4,1.15802721088,"""4/4""",76,63.2247846604,9,0,1,D-,A2,lick
50.4685714286,0.161088435374,4,8,9,3,3,1.17832199546,"""4/4""",73,59.7158557266,10,1,1,D-j7,A2,#line_w
50.6325623583,0.108843537415,4,8,9,3,4,1.17832199546,"""4/4""",70,61.1819102348,10,0,1,D-j7,A2,#line_w
50.7588208617,0.0595011337868,4,8,9,3,5,1.17832199546,"""4/4""",74,64.7745945252,10,0,1,D-j7,A2,#line_w
50.8241269841,0.208979591837,4,8,9,3,6,1.17832199546,"""4/4""",75,66.0822062912,10,0,1,D-j7,A2,#line_w
51.0476190476,0.140770975057,4,8,9,3,7,1.17832199546,"""4/4""",71,64.3600844363,10,0,1,D-j7,A2,#line_w
51.2058049887,0.119002267574,4,8,9,3,8,1.17832199546,"""4/4""",68,54.8768645155,10,0,1,D-j7,A2,#line_w
51.3349659864,0.148027210884,4,8,9,4,1,1.12433106576,"""4/4""",73,57.5058575006,10,0,1,D-j7,A2,#line_w
51.4917006803,0.12335600907,4,8,9,4,2,1.12433106576,"""4/4""",69,58.6697378822,10,0,1,D-j7,A2,#line_w
51.6179591837,0.152380952381,4,8,9,4,3,1.12433106576,"""4/4""",66,59.8238005922,10,0,1,D-j7,A2,#line_w
51.7746938776,0.0580498866213,4,8,9,4,4,1.12433106576,"""4/4""",69,62.8068063355,10,0,1,D-j7,A2,#line_w
51.8385487528,0.119002267574,4,8,9,4,5,1.12433106576,"""4/4""",71,62.4246659209,10,0,1,D-j7,A2,#line_w
51.9909297052,0.114648526077,4,8,9,4,6,1.12433106576,"""4/4""",68,61.6923545743,10,0,1,D-j7,A2,#line_w
52.1215419501,0.113197278912,4,8,9,4,7,1.12433106576,"""4/4""",64,61.0855190579,10,0,1,D-j7,A2,#line_w
52.2594104308,0.121904761905,4,8,9,4,8,1.12433106576,"""4/4""",70,61.8857675116,10,0,1,D-j7,A2,#line_w
52.4219501134,0.171247165533,4,18,10,1,1,1.13195011338,"""4/4""",66,57.7411557264,10,0,1,D-j7,A2,#line_w
52.6207709751,0.0595011337868,4,18,10,1,4,1.13195011338,"""4/4""",61,55.2805783358,10,0,1,D-7,A2,#line_w
52.7034920635,0.156734693878,4,18,10,1,5,1.13195011338,"""4/4""",68,61.3722353694,10,0,1,D-7,A2,#line_w
52.909569161,0.0696598639456,4,18,10,1,9,1.13195011338,"""4/4""",64,48.7607326462,10,0,1,D-7,A2,#line_w
52.9850340136,0.111746031746,4,18,10,1,10,1.13195011338,"""4/4""",66,57.5923558544,10,0,1,D-7,A2,#line_w
53.1156462585,0.158185941043,4,18,10,1,12,1.13195011338,"""4/4""",71,57.9560995602,10,0,1,D-7,A2,#line_w
53.2926984127,0.153832199546,4,18,10,1,15,1.13195011338,"""4/4""",68,52.2073268642,10,0,1,D-7,A2,#line_w
53.4610430839,0.0536961451247,4,18,10,1,17,1.13195011338,"""4/4""",69,48.4620966072,10,0,1,D-7,A2,#line_w
